ที่,เส้นทาง,ตำแหน่งติดตั้งเครื่องวัด,Lat,Lng,Car,Motorcycle,Truck,รวมต่อวัน,คัน/ชั่วโมง
1,ถ.กสิกรทุ่งสร้าง,หน้าตลาดจอมพล,16.4489,102.8362,53772,42496,14374,160892,8293
2,ถ.ศรีจันทร์ – หนองโคตร,ช่วงตลาดคำไฮ,16.4312,102.8445,50787,40663,7569,143990,7422
3,ถ.กลางเมือง,หน้าสถานีตำรวจ ถึงแยกกัลยา,16.4385,102.8312,41072,47205,10637,143837,7414
4,ถ.ศรีจันทร์,แยกเซ็นทรัล ถึงแยกศาลหลักเมือง,16.4372,102.8334,60082,20824,16019,140945,7265
5,ถ.รื่นรมย์,บางจาก ถึง แยกโต้รุ่ง,16.4341,102.8289,50713,34075,10681,138828,7156
6,ถ.กัลปพฤกษ์(บาดาล),แยกมิตรภาพ ถึงวัดตุดอุลย์,16.4298,102.8201,52398,25950,12047,131449,6776
7,ถ.มิตรภาพ ช่วงทิศเหนือ,ตั้งแต่ประตูมอดินแดง ถึง ปตท.ปรีดาปาร์ก,16.4534,102.8523,66220,14952,8590,130529,6728
8,ถ.หน้าเมือง,ตลาดบางลำภู ถึงแยกรื่นรมย์,16.4367,102.8298,44699,29618,12940,126886,6541
9,ถ.มิตรภาพ ช่วงกลาง,สี่แยกบ้านกอก มอ ภาค,16.4412,102.8478,40042,27542,14074,118744,6121
10,ถ.มิตรภาพ ช่วงทิศใต้,บ้านกุดกว้าง,16.4234,102.8412,48381,4188,19043,104136,5368
11,ถ.ประชาสโมสร,หน้าที่ว่าการอำเภอ ถึงแยกเทพารักษ์ สะพานลอย บขส เก่า,16.4401,102.8267,35992,22810,11875,102776,5298
12,ถ.มอดินแดง,แยกเจ้าพ่อมอ ถึงสามแยก,16.4023,102.8345,57256,1667,7905,97179,5009
13,ถ.กสิกรทุ่งสร้าง,หน้า ค่ายศรีพัชรินทร,16.4521,102.8378,33664,21564,7506,91226,4702
14,ถ.เหล่านาดี,หน้าแหวน ถึงแยกบ้านสะอาด,16.4156,102.8123,33690,21292,5776,88352,4554
15,ถ.เหล่านาดี,หน้าแก่นนคร ถึงสนามกีฬา,16.4178,102.8134,25760,27406,5156,84810,4372
16,ถ.ชาตะผดุง,หน้ามหาไถ่,16.4289,102.8156,20781,26539,6235,77878,4014
17,ถ.บ้านกอก,ถนนบ้านกอก หน้า มอ.ภาค,16.4323,102.8456,18968,26533,6181,75154,3874
18,ถ.โนนม่วง,หน้านอร์ทปาร์ค,16.4567,102.8234,21298,21999,3648,68266,3519
19,ถ.กัลปพฤกษ์ (สีฐาน),หน้าตลาด 62 block,16.4234,102.8178,24278,16076,4224,64824,3341
20,ถ.เฉลิมพระเกียรติ,โกโฮลเซล ถึงแยกศรีจันทร์,16.4356,102.8367,21328,14555,7262,62740,3234
21,ถ.กัลปพฤกษ์ (สีฐาน),แยก BMW ถึงขอนแก่นราม ปตท กัลปพฤกษ์,16.4212,102.8156,20756,18074,3970,62238,3208
22,ถ.หนองไผ่ โตโยต้าชัวร์,เจวิลลาเลจ หน้า โตโยต้าชัวร์,16.4423,102.8156,22264,12938,6829,61120,3151
23,ถ.หลังเมือง,แถวๆ ชัยมหา,16.4378,102.8289,21833,11609,4161,54681,2819
24,ถ.มะลิวัลย์,ช่วงแยก ร.8 ถึง ปตท.สีฐาน โรงเรียนคนตาบอด,16.4201,102.8145,25243,9310,2681,54144,2791
25,ถ.สีหราชเดโชชัย,แยกไฟแดง ถึงหน้าหมู่บ้านแก่นทอง,16.4456,102.8245,18913,14150,3672,53419,2754
